id,originalexample,originalscore,originallabel,Advexample,Advscore,AdvLabel,Result,status
0,http://ir.netflix.com/,0.0018892884254455566,0,http://iridium.netflix.com/,0.0023611783981323242,0,FAILED,True
1,http://netflix.com,0.011776387691497803,0,http://netflix.com,0.011776387691497803,0,FAILED,True
2,http://netflix.com/,0.012131989002227783,0,http://netflix.com/,0.012131989002227783,0,FAILED,True
3,http://netflix.com/au/,0.8856393098831177,1,http://netflix.com/au/,0.8856393098831177,1,SKIPPED,True
4,http://netflix.com/login,0.9958933591842651,1,http://netflix.com/login,0.9958933591842651,1,SKIPPED,True
5,http://netflix.com/youraccount,0.9957167506217957,1,http://netflix.com/youraccount,0.9957167506217957,1,SKIPPED,True
6,http://netflix.net,0.8635387420654297,1,http://netflix.net,0.8635387420654297,1,SKIPPED,True
7,http://netflix.net/,0.021888673305511475,0,http://netflix.web/,0.9474231600761414,1,SUCCESS,True
8,http://netflix.net/au/,0.924456000328064,1,http://netflix.net/au/,0.924456000328064,1,SKIPPED,True
9,http://netflix.net/login,0.9983071088790894,1,http://netflix.net/login,0.9983071088790894,1,SKIPPED,True
10,http://netflix.net/redeem,0.29006505012512207,0,http://netflix.net/save,0.9884246587753296,1,SUCCESS,True
11,http://netflix.net/youraccount,0.9904028177261353,1,http://netflix.net/youraccount,0.9904028177261353,1,SKIPPED,True
12,https://help.netflix.com,0.999994158744812,1,https://help.netflix.com,0.999994158744812,1,SKIPPED,True
13,https://media.netflix.com/,0.9999972581863403,1,https://media.netflix.com/,0.9999972581863403,1,SKIPPED,True
14,https://netflix.com,0.999985933303833,1,https://netflix.com,0.999985933303833,1,SKIPPED,True
15,https://netflix.com/au/,0.9998218417167664,1,https://netflix.com/au/,0.9998218417167664,1,SKIPPED,True
16,chrome.google.com/extensions,0.09195899963378906,0,chrome.google.com/denotation,0.6436110734939575,1,SUCCESS,False
17,chrome.google.com/webstore/detail/nolijncfnkgaikbjbdaogikpmpbdcdef,0.8921491503715515,1,chrome.google.com/webstore/detail/nolijncfnkgaikbjbdaogikpmpbdcdef,0.8921491503715515,1,SKIPPED,False
18,code.google.com/android/,0.09802889823913574,0,codification.google.com/android/,0.6047398447990417,1,SUCCESS,False
19,code.google.com/chromium/,0.06228142976760864,0,code.google.com/Cr/,0.9782746434211731,1,SUCCESS,False
20,code.google.com/edu/submissions/waterloo-concurrent/index.html,0.9992769360542297,1,code.google.com/edu/submissions/waterloo-concurrent/index.html,0.9992769360542297,1,SKIPPED,False
21,code.google.com/intl/fr/apis/gdata/articles/gdata_on_rails.html,0.9960395097732544,1,code.google.com/intl/fr/apis/gdata/articles/gdata_on_rails.html,0.9960395097732544,1,SKIPPED,False
22,code.google.com/p/amop/,0.16947513818740845,0,codification.google.com/p/amop/,0.9940488338470459,1,SUCCESS,False
23,code.google.com/p/apsw/,0.00426030158996582,0,codification.google.com/p/apsw/,0.5497761964797974,1,SUCCESS,False
24,code.google.com/p/canopy-httpd/,0.16545617580413818,0,cypher.google.com/p/canopy-httpd/,0.9926096796989441,1,SUCCESS,False
25,code.google.com/p/compcache/,0.14028680324554443,0,inscribe.google.com/p/compcache/,0.9480451941490173,1,SUCCESS,False
26,code.google.com/p/cryptsetup/,0.12500548362731934,0,inscribe.google.com/p/cryptsetup/,0.9728373289108276,1,SUCCESS,False
27,code.google.com/p/dcsharp/,0.0010341405868530273,0,codification.Google.com/p/dcsharp/,0.01057654619216919,0,FAILED,False
28,code.google.com/p/epic-win32/,0.059474050998687744,0,inscribe.google.com/p/epic-win32/,0.8743827939033508,1,SUCCESS,False
29,code.google.com/p/evennia/,0.012002170085906982,0,inscribe.google.com/p/evennia/,0.21884876489639282,0,FAILED,False
30,code.google.com/p/f90tohtml/,0.004351139068603516,0,cypher.google.com/P/f90tohtml/,0.051279664039611816,0,FAILED,False
31,code.google.com/p/fanntool/,0.006438195705413818,0,inscribe.google.com/p/fanntool/,0.017716825008392334,0,FAILED,False
32,code.google.com/p/favloc/,0.00040978193283081055,0,codification.Google.com/phosphorus/favloc/,0.07339417934417725,0,FAILED,False
33,code.google.com/p/ffl/,0.061735689640045166,0,codification.google.com/p/ffl/,0.897857129573822,1,SUCCESS,False
34,code.google.com/p/foraytool/,0.007659792900085449,0,cypher.Google.com/p/foraytool/,0.19471609592437744,0,FAILED,False
35,code.google.com/p/foxreplace/,0.00260007381439209,0,codification.google.com/phosphorus/foxreplace/,0.09605389833450317,0,FAILED,False
36,code.google.com/p/fuel-scm/,0.0008623600006103516,0,codification.Google.com/phosphorus/fuel-scm/,0.053332507610321045,0,FAILED,False
37,code.google.com/p/git-osx-installer/,0.001325070858001709,0,codification.Google.com/p/git-osx-installer/,0.0258101224899292,0,FAILED,False
