id,originalexample,originalscore,originallabel,Advexample,Advscore,AdvLabel,Result,status,domainchanged,tldchanged
0,http://www.ir.netflix.com/,0.9512555599212646,1,http://www.ir.netflix.com/,0.9512555599212646,1,SKIPPED,True,False,False
1,http://www.netflix.com,0.010994315147399902,0,hPttp://www.netflix.com,0.876211404800415,1,SUCCESS,False,False,False
2,http://www.netflix.com/,0.031322479248046875,0,hRttp://www.netflix.com/,0.9504520297050476,1,SUCCESS,False,False,False
3,http://www.netflix.com/au/,0.752263605594635,1,http://www.netflix.com/au/,0.752263605594635,1,SKIPPED,True,False,False
4,http://www.netflix.com/login,0.9995261430740356,1,http://www.netflix.com/login,0.9995261430740356,1,SKIPPED,True,False,False
5,http://www.netflix.com/youraccount,0.9902841448783875,1,http://www.netflix.com/youraccount,0.9902841448783875,1,SKIPPED,True,False,False
6,http://www.netflix.net,0.050427913665771484,0,htftp://www.netflix.net,0.287450909614563,0,FAILED,False,False,False
7,http://www.netflix.net/,0.09247112274169922,0,htptp://www.netflix.net/,0.39857417345046997,0,FAILED,False,False,False
8,http://www.netflix.net/au/,0.8127473592758179,1,http://www.netflix.net/au/,0.8127473592758179,1,SKIPPED,True,False,False
9,http://www.netflix.net/login,0.9998643398284912,1,http://www.netflix.net/login,0.9998643398284912,1,SKIPPED,True,False,False
10,http://www.netflix.net/redeem,0.7937583327293396,1,http://www.netflix.net/redeem,0.7937583327293396,1,SKIPPED,True,False,False
11,http://www.netflix.net/youraccount,0.994350790977478,1,http://www.netflix.net/youraccount,0.994350790977478,1,SKIPPED,True,False,False
12,https://www.help.netflix.com,0.999916672706604,1,https://www.help.netflix.com,0.999916672706604,1,SKIPPED,True,False,False
13,https://www.media.netflix.com/,0.9998239278793335,1,https://www.media.netflix.com/,0.9998239278793335,1,SKIPPED,True,False,False
14,https://www.netflix.com,0.9965091943740845,1,https://www.netflix.com,0.9965091943740845,1,SKIPPED,True,False,False
15,https://www.netflix.com/au/,0.9998906254768372,1,https://www.netflix.com/au/,0.9998906254768372,1,SKIPPED,True,False,False
16,chrome.google.com/extensions,0.18918389081954956,0,chrome.google.com/extensDions,0.9984663128852844,1,SUCCESS,False,False,False
17,chrome.google.com/webstore/detail/nolijncfnkgaikbjbdaogikpmpbdcdef,0.9952166080474854,1,chrome.google.com/webstore/detail/nolijncfnkgaikbjbdaogikpmpbdcdef,0.9952166080474854,1,SKIPPED,False,False,False
18,code.google.com/android/,0.9226853847503662,1,code.google.com/android/,0.9226853847503662,1,SKIPPED,False,False,False
19,code.google.com/chromium/,0.7599239945411682,1,code.google.com/chromium/,0.7599239945411682,1,SKIPPED,False,False,False
20,code.google.com/edu/submissions/waterloo-concurrent/index.html,0.7944992780685425,1,code.google.com/edu/submissions/waterloo-concurrent/index.html,0.7944992780685425,1,SKIPPED,False,False,False
21,code.google.com/intl/fr/apis/gdata/articles/gdata_on_rails.html,0.0023365020751953125,0,code.google.com/intl/fr/apis/gdata/arKticles/gdata_on_rails.html,0.25185108184814453,0,FAILED,False,False,False
22,code.google.com/p/amop/,0.121823251247406,0,code.goYogle.com/p/amop/,0.989026665687561,1,SUCCESS,False,True,False
23,code.google.com/p/apsw/,0.1337088942527771,0,code.goPogle.com/p/apsw/,0.9916460514068604,1,SUCCESS,False,True,False
24,code.google.com/p/canopy-httpd/,0.013467609882354736,0,code.google.com/p/canopTy-httpd/,0.7874148488044739,1,SUCCESS,False,False,False
25,code.google.com/p/compcache/,0.13923406600952148,0,code.goDogle.com/p/compcache/,0.9926735162734985,1,SUCCESS,False,True,False
