id,originalexample,originalscore,originallabel,Advexample,Advscore,AdvLabel,Result,status,domainchanged,tldchanged
0,http://ir.netflix.com/,0.058354616,0,http://ir.netflix.com/,0.058354616,0,FAILED,TRUE,FALSE,FALSE
1,http://netflix.com,0.058607876,0,http://netflix.com,0.058607876,0,FAILED,TRUE,FALSE,FALSE
2,http://netflix.com/,0.419345975,0,http://netflix.com/,0.419345975,0,FAILED,TRUE,FALSE,FALSE
3,http://netflix.com/au/,0.997725308,1,http://netflix.com/au/,0.997725308,1,SKIPPED,TRUE,FALSE,FALSE
4,http://netflix.com/login,0.999760687,1,http://netflix.com/login,0.999760687,1,SKIPPED,TRUE,FALSE,FALSE
5,http://netflix.com/youraccount,0.998902559,1,http://netflix.com/youraccount,0.998902559,1,SKIPPED,TRUE,FALSE,FALSE
6,http://netflix.net,0.850879788,1,http://netflix.net,0.850879788,1,SKIPPED,TRUE,FALSE,FALSE
7,http://netflix.net/,0.762464702,1,http://netflix.net/,0.762464702,1,SKIPPED,TRUE,FALSE,FALSE
8,http://netflix.net/au/,0.996636748,1,http://netflix.net/au/,0.996636748,1,SKIPPED,TRUE,FALSE,FALSE
9,http://netflix.net/login,0.999834418,1,http://netflix.net/login,0.999834418,1,SKIPPED,TRUE,FALSE,FALSE
10,http://netflix.net/redeem,0.983025968,1,http://netflix.net/redeem,0.983025968,1,SKIPPED,TRUE,FALSE,FALSE
11,http://netflix.net/youraccount,0.996867001,1,http://netflix.net/youraccount,0.996867001,1,SKIPPED,TRUE,FALSE,FALSE
12,https://help.netflix.com,0.999797642,1,https://help.netflix.com,0.999797642,1,SKIPPED,TRUE,FALSE,FALSE
13,https://media.netflix.com/,0.999575198,1,https://media.netflix.com/,0.999575198,1,SKIPPED,TRUE,FALSE,FALSE
14,https://netflix.com,0.999691844,1,https://netflix.com,0.999691844,1,SKIPPED,TRUE,FALSE,FALSE
15,https://netflix.com/au/,0.999986887,1,https://netflix.com/au/,0.999986887,1,SKIPPED,TRUE,FALSE,FALSE
16,chrome.google.com/extensions,0.027073741,0,chrome.google.com/extensions,0.027073741,0,FAILED,FALSE,FALSE,FALSE
17,chrome.google.com/webstore/detail/nolijncfnkgaikbjbdaogikpmpbdcdef,0.979348302,1,chrome.google.com/webstore/detail/nolijncfnkgaikbjbdaogikpmpbdcdef,0.979348302,1,SKIPPED,FALSE,FALSE,FALSE
18,code.google.com/android/,0.01730603,0,code.google.com/android/,0.01730603,0,FAILED,FALSE,FALSE,FALSE
19,code.google.com/chromium/,0.014864862,0,code.google.com/chromium/,0.014864862,0,FAILED,FALSE,FALSE,FALSE
20,code.google.com/edu/submissions/waterloo-concurrent/index.html,0.028562963,0,code.google.com/edu/submissions/waterloo-concurrent/index.html,0.028562963,0,FAILED,FALSE,FALSE,FALSE
21,code.google.com/intl/fr/apis/gdata/articles/gdata_on_rails.html,0.912192583,1,code.google.com/intl/fr/apis/gdata/articles/gdata_on_rails.html,0.912192583,1,SKIPPED,FALSE,FALSE,FALSE
22,code.google.com/p/amop/,0.064576507,0,code.google.com/p/amop/,0.064576507,0,FAILED,FALSE,FALSE,FALSE
23,code.google.com/p/apsw/,0.041091979,0,code.google.com/p/apsw/,0.041091979,0,FAILED,FALSE,FALSE,FALSE
24,code.google.com/p/canopy-httpd/,0.04869616,0,code.google.com/p/canopy-httpd/,0.04869616,0,FAILED,FALSE,FALSE,FALSE
25,code.google.com/p/compcache/,0.174912214,0,code.google.com/p/compcache/,0.174912214,0,FAILED,FALSE,FALSE,FALSE
26,code.google.com/p/cryptsetup/,0.452280581,0,code.google.com/p/cryptsetup/,0.452280581,0,FAILED,FALSE,FALSE,FALSE
27,code.google.com/p/dcsharp/,0.075864255,0,code.google.com/p/dcsharp/,0.075864255,0,FAILED,FALSE,FALSE,FALSE
28,code.google.com/p/epic-win32/,0.031966507,0,code.google.com/p/epic-win32/,0.031966507,0,FAILED,FALSE,FALSE,FALSE
29,code.google.com/p/evennia/,0.009572148,0,code.google.com/p/evennia/,0.009572148,0,FAILED,FALSE,FALSE,FALSE
30,code.google.com/p/f90tohtml/,0.032525957,0,code.google.com/p/f90tohtml/,0.032525957,0,FAILED,FALSE,FALSE,FALSE
31,code.google.com/p/fanntool/,0.032138884,0,code.google.com/p/fanntool/,0.032138884,0,FAILED,FALSE,FALSE,FALSE
32,code.google.com/p/favloc/,0.042930305,0,code.google.com/p/favloc/,0.042930305,0,FAILED,FALSE,FALSE,FALSE
33,code.google.com/p/ffl/,0.02757442,0,code.google.com/p/ffl/,0.02757442,0,FAILED,FALSE,FALSE,FALSE
34,code.google.com/p/foraytool/,0.11869061,0,code.google.com/p/foraytool/,0.11869061,0,FAILED,FALSE,FALSE,FALSE
35,code.google.com/p/foxreplace/,0.075580299,0,code.google.com/p/foxreplace/,0.075580299,0,FAILED,FALSE,FALSE,FALSE
36,code.google.com/p/fuel-scm/,0.063022554,0,code.google.com/p/fuel-scm/,0.063022554,0,FAILED,FALSE,FALSE,FALSE
37,code.google.com/p/git-osx-installer/,0.044321299,0,code.google.com/p/git-osx-installer/,0.044321299,0,FAILED,FALSE,FALSE,FALSE
